prueba,Sede,promedio,n
Lenguaje,Cota,67.91454008954008,4
Lenguaje,Mosquera,67.9644991235839,4
Lenguaje,Tunja,50.91767676767677,4
Lenguaje,Zipa,53.53179158782607,4
Ciencias Naturales,Cota,61.380311355311356,4
Ciencias Naturales,Mosquera,65.17391142788543,4
Ciencias Naturales,Tunja,53.519227994228,4
Ciencias Naturales,Zipa,56.0589468779124,4
Inglés,Cota,64.60593711843711,4
Inglés,Mosquera,67.03467851990486,4
Inglés,Tunja,49.98389249639249,4
Inglés,Zipa,54.22862172517345,4
Matemáticas,Cota,58.01369556369556,4
Matemáticas,Mosquera,58.85426846447033,4
Matemáticas,Tunja,57.80088383838384,4
Matemáticas,Zipa,57.14595206491758,4
Definitiva,Cota,62.40706145706146,4
Definitiva,Mosquera,63.109984605917646,4
Definitiva,Tunja,50.97546897546897,4
Definitiva,Zipa,54.13745116589944,4
Sociales y Ciudadanas,Cota,61.67729955229956,4
Sociales y Ciudadanas,Mosquera,60.16623065735458,4
Sociales y Ciudadanas,Tunja,42.35613275613275,4
Sociales y Ciudadanas,Zipa,49.79996069737449,4
