Sede,grado,area,puntaje_nal,puntaje_pla,n,diff_pla_menos_nal
Cota,3,Ciencias Naturales,51.0,48.0,15,-3.0
Cota,3,Inglés,51.46666666666667,51.13333333333333,15,-0.3333333333333357
Cota,3,Lenguaje,51.4,45.06666666666667,15,-6.333333333333329
Cota,3,Matemáticas,60.93333333333333,60.266666666666666,15,-0.6666666666666643
Cota,3,Sociales y Ciudadanas,51.6,57.4,15,5.799999999999997
Cota,5,Ciencias Naturales,64.66666666666667,61.2,15,-3.4666666666666686
Cota,5,Inglés,56.333333333333336,56.06666666666667,15,-0.2666666666666657
Cota,5,Lenguaje,80.13333333333334,83.6,15,3.4666666666666544
Cota,5,Matemáticas,64.26666666666667,63.6,15,-0.6666666666666643
Cota,5,Sociales y Ciudadanas,67.4,68.53333333333333,15,1.1333333333333258
Cota,7,Ciencias Naturales,68.35,63.95,20,-4.3999999999999915
Cota,7,Inglés,61.1,61.3,20,0.19999999999999574
Cota,7,Lenguaje,68.0,66.55,20,-1.4500000000000028
Cota,7,Matemáticas,54.75,44.85,20,-9.899999999999999
Cota,7,Sociales y Ciudadanas,53.95,52.9,20,-1.0500000000000043
Cota,9,Ciencias Naturales,65.95,72.75,20,6.799999999999997
Cota,9,Inglés,75.3,89.5,20,14.200000000000003
Cota,9,Lenguaje,67.9,77.25,20,9.349999999999994
Cota,9,Matemáticas,56.35,64.25,20,7.899999999999999
Cota,9,Sociales y Ciudadanas,62.95,68.0,20,5.049999999999997
Mosquera,3,Ciencias Naturales,51.0,52.6,15,1.6000000000000014
Mosquera,3,Inglés,51.13333333333333,54.46666666666667,15,3.3333333333333357
Mosquera,3,Lenguaje,51.333333333333336,52.733333333333334,15,1.3999999999999986
Mosquera,3,Matemáticas,60.86666666666667,62.266666666666666,15,1.3999999999999986
Mosquera,3,Sociales y Ciudadanas,51.333333333333336,52.06666666666667,15,0.7333333333333343
Mosquera,5,Ciencias Naturales,64.13333333333334,68.53333333333333,15,4.3999999999999915
Mosquera,5,Inglés,56.06666666666667,63.06666666666667,15,7.0
Mosquera,5,Lenguaje,80.0,81.26666666666667,15,1.2666666666666657
Mosquera,5,Matemáticas,64.26666666666667,64.86666666666666,15,0.5999999999999943
Mosquera,5,Sociales y Ciudadanas,66.8,66.93333333333334,15,0.13333333333333997
Mosquera,7,Ciencias Naturales,68.1,74.7,20,6.6000000000000085
Mosquera,7,Inglés,60.5,70.5,20,10.0
Mosquera,7,Lenguaje,67.85,72.5,20,4.650000000000006
Mosquera,7,Matemáticas,54.5,56.75,20,2.25
Mosquera,7,Sociales y Ciudadanas,53.7,59.45,20,5.75
Mosquera,9,Ciencias Naturales,62.925,63.05,40,0.125
Mosquera,9,Inglés,69.65,77.95,40,8.299999999999997
Mosquera,9,Lenguaje,65.8,66.325,40,0.5250000000000057
Mosquera,9,Matemáticas,52.275,52.025,40,-0.25
Mosquera,9,Sociales y Ciudadanas,62.25,62.6,40,0.3500000000000014
Tunja,3,Ciencias Naturales,48.6,45.0,15,-3.6000000000000014
Tunja,3,Inglés,44.13333333333333,39.333333333333336,15,-4.799999999999997
Tunja,3,Lenguaje,43.6,42.333333333333336,15,-1.2666666666666657
