area,Sede,diff_prom,n
Inglés,Cota,3.4499999999999993,4
Inglés,Mosquera,7.158333333333333,4
Inglés,Tunja,-0.049999999999998934,4
Inglés,Zipa,4.066666666666665,4
Lenguaje,Cota,1.2583333333333293,4
Lenguaje,Mosquera,1.960416666666669,4
Lenguaje,Tunja,-0.42499999999999716,4
Lenguaje,Zipa,2.0916666666666686,4
Matemáticas,Cota,-0.8333333333333321,4
Matemáticas,Mosquera,0.9999999999999982,4
Matemáticas,Tunja,2.633333333333333,4
Matemáticas,Zipa,1.895833333333334,4
Sociales y Ciudadanas,Cota,2.733333333333329,4
Sociales y Ciudadanas,Mosquera,1.741666666666669,4
Sociales y Ciudadanas,Tunja,-3.8166666666666647,4
Sociales y Ciudadanas,Zipa,3.458333333333334,4
Ciencias Naturales,Cota,-1.0166666666666657,4
Ciencias Naturales,Mosquera,3.1812500000000004,4
Ciencias Naturales,Tunja,-0.9250000000000007,4
Ciencias Naturales,Zipa,1.3583333333333325,4
